01333_1023	[92.0, 41.0, 10.0, 41]
22120_0123	[105.0, 48.0, 7.0, 50]
32220_3120	[113.0, 56.0, 7.0, 50]
03103_3120	[95.0, 43.0, 11.0, 41]
10311_1230	[109.0, 52.0, 7.0, 50]
32101_1032	[112.0, 50.0, 12.0, 50]
11102_1230	[101.0, 42.0, 9.0, 50]
12120_2031	[119.0, 54.0, 15.0, 50]
32231_3012	[105.0, 48.0, 7.0, 50]
10201_2013	[113.0, 52.0, 11.0, 50]
32101_2130	[112.0, 48.0, 14.0, 50]
00033_0231	[60.0, 25.0, 3.0, 32]
22201_1320	[101.0, 42.0, 9.0, 50]
13023_2013	[97.0, 43.0, 13.0, 41]
21132_0123	[109.0, 49.0, 10.0, 50]
11301_1320	[113.0, 49.0, 14.0, 50]
12223_0123	[119.0, 58.0, 11.0, 50]
33033_3201	[87.0, 40, 6.0, 41]
20113_2130	[115.0, 52.0, 13.0, 50]
33000_2301	[86.0, 37.0, 8.0, 41]
10030_3201	[89.0, 38.0, 10.0, 41]
33101_1302	[104.0, 44.0, 10.0, 50]
31200_0231	[113.0, 53.0, 10.0, 50]
12033_3012	[89.0, 39.0, 9.0, 41]
13210_2301	[107.0, 48.0, 9.0, 50]
11023_0213	[91.0, 38.0, 12.0, 41]
31012_3102	[107.0, 50.0, 16.0, 41]
21020_1032	[92.0, 41.0, 10.0, 41]
31131_2103	[100.0, 42.0, 8.0, 50]
21323_0231	[110.0, 50.0, 10.0, 50]
10013_3012	[87.0, 39.0, 7.0, 41]
00013_0132	[70.0, 31.0, 7.0, 32]
31223_2301	[113.0, 50.0, 13.0, 50]
23132_0123	[111.0, 49.0, 12.0, 50]
10023_2130	[93.0, 39.0, 13.0, 41]
20033_3012	[86.0, 36.0, 9.0, 41]
21310_3012	[111.0, 50.0, 11.0, 50]
20201_1302	[113.0, 51.0, 12.0, 50]
00113_3012	[91.0, 39.0, 11.0, 41]
20302_3021	[111.0, 49.0, 12.0, 50]
13133_2301	[109.0, 45.0, 14.0, 50]
30022_1032	[87.0, 38.0, 8.0, 41]
30323_1023	[106.0, 44.0, 12.0, 50]
03022_0321	[71.0, 32.0, 7.0, 32]
01210_2310	[93.0, 40.0, 12.0, 41]
01002_3021	[79.0, 36.0, 11.0, 32]
20310_3210	[117.0, 51.0, 16.0, 50]
10320_1230	[115.0, 52.0, 13.0, 50]
23200_2310	[111.0, 51.0, 10.0, 50]
13301_0213	[103.0, 46.0, 7.0, 50]
13131_3021	[106.0, 48.0, 8.0, 50]
23033_0321	[98.0, 46.0, 11.0, 41]
01022_3201	[75.0, 33.0, 10.0, 32]
00223_0132	[91.0, 39.0, 11.0, 41]
20302_2013	[118.0, 52.0, 16.0, 50]
21113_2301	[121.0, 57.0, 14.0, 50]
21331_3021	[111.0, 50.0, 11.0, 50]
31111_3102	[114.0, 56.0, 8.0, 50]
12133_0321	[109.0, 49.0, 10.0, 50]
23023_2103	[95.0, 43.0, 11.0, 41]
20202_0312	[106.0, 48.0, 8.0, 50]
32023_0213	[101.0, 44.0, 16.0, 41]
20301_0231	[117.0, 53.0, 14.0, 50]
20330_0123	[117.0, 53.0, 14.0, 50]
02200_3201	[87.0, 40.0, 6.0, 41]
10210_0312	[113.0, 52.0, 11.0, 50]
32221_2130	[121.0, 57.0, 14.0, 50]
01012_3102	[85.0, 37.0, 16.0, 32]
11001_2013	[86.0, 38.0, 7.0, 41]
21111_1023	[108.0, 54.0, 4.0, 50]
11210_2013	[103.0, 47.0, 6.0, 50]
23321_0312	[107.0, 48.0, 9.0, 50]
10031_1203	[91.0, 40.0, 10.0, 41]
03100_2310	[91.0, 43.0, 7.0, 41]
31232_0312	[106.0, 46.0, 10.0, 50]
22013_0123	[91.0, 38.0, 12.0, 41]
33231_2301	[105.0, 47.0, 8.0, 50]
13123_1023	[119.0, 55.0, 14.0, 50]
02122_3210	[97.0, 42.0, 14.0, 41]
02000_1203	[66.0, 30.0, 4.0, 32]
12022_2031	[98.0, 46.0, 11.0, 41]
13321_2310	[113.0, 49.0, 14.0, 50]
01312_3201	[95.0, 43.0, 11.0, 41]
01002_0213	[71.0, 32.0, 7.0, 32]
20232_0231	[118.0, 52.0, 16.0, 50]
10102_2013	[111.0, 50.0, 11.0, 50]
13203_3012	[117.0, 53.0, 14.0, 50]
10113_2301	[109.0, 49.0, 10.0, 50]
